날짜,시간,기온(°C),강수량(mm),풍속(m/s),습도(%),시정(10m),적설(cm)
2019-01-01,01,-5.9,,1.8,56.0,1569,
2019-01-01,02,-6.5,,1.2,60.0,1462,
2019-01-01,03,-6.9,,2.2,62.0,1281,
2019-01-01,04,-7.2,,1.2,57.0,1195,
2019-01-01,05,-7.6,,2.1,59.0,1248,
2019-01-01,06,-7.9,,1.3,60.0,1232,
2019-01-01,07,-7.7,,1.3,58.0,1473,
2019-01-01,08,-7.7,,0.9,57.0,1652,
2019-01-01,09,-7.0,,0.9,50.0,1770,
2019-01-01,10,-4.9,,1.6,44.0,1588,
2019-01-01,11,-3.7,,2.5,41.0,1653,
2019-01-01,12,-2.8,,2.8,47.0,1640,
2019-01-01,13,-1.5,,2.7,49.0,1213,
2019-01-01,14,-1.7,,3.5,51.0,1286,
2019-01-01,15,-1.5,,3.0,46.0,1549,
2019-01-01,16,-0.9,,3.2,45.0,1536,
2019-01-01,17,-1.8,,2.2,48.0,1622,
2019-01-01,18,-2.7,,2.6,45.0,1836,
2019-01-01,19,-3.2,,3.2,45.0,1761,
2019-01-01,20,-3.9,,3.5,42.0,1868,
2019-01-01,21,-4.6,,2.6,36.0,2000,
2019-01-01,22,-5.4,,3.1,43.0,1950,
2019-01-01,23,-6.0,,1.1,48.0,2000,
2019-01-02,00,-6.7,,1.3,50.0,1977,
2019-01-02,01,-7.2,,0.8,52.0,1942,
2019-01-02,02,-7.8,,1.3,54.0,1853,
2019-01-02,03,-8.0,,0.9,55.0,1755,
2019-01-02,04,-8.4,,1.3,59.0,1684,
2019-01-02,05,-8.5,,0.8,57.0,1737,
2019-01-02,06,-8.5,,0.6,57.0,1928,
2019-01-02,07,-8.5,,0.7,61.0,1814,
2019-01-02,08,-8.7,,0.8,63.0,1622,
2019-01-02,09,-7.5,,1.4,51.0,1787,
2019-01-02,10,-5.6,,1.5,40.0,1770,
2019-01-02,11,-4.1,,2.2,33.0,1550,
2019-01-02,12,-2.8,,3.2,29.0,1810,
2019-01-02,13,-1.8,,3.0,26.0,1751,
2019-01-02,14,-0.2,,2.5,22.0,1910,
2019-01-02,15,0.0,,2.6,23.0,1851,
2019-01-02,16,0.0,,2.0,22.0,1975,
2019-01-02,17,-1.0,,1.8,32.0,1809,
2019-01-02,18,-2.6,,2.2,37.0,1737,
2019-01-02,19,-3.3,,2.0,39.0,1702,
2019-01-02,20,-3.9,,1.1,43.0,1453,
2019-01-02,21,-4.4,,1.7,44.0,1312,
2019-01-02,22,-4.3,,2.0,47.0,1334,
2019-01-02,23,-4.6,,1.6,47.0,1416,
2019-01-03,00,-5.4,,2.4,46.0,1794,
2019-01-03,01,-6.1,,0.8,48.0,1793,
2019-01-03,02,-7.0,,0.8,53.0,1463,
2019-01-03,03,-7.5,,0.7,51.0,1681,
2019-01-03,04,-7.7,,2.4,53.0,1455,
2019-01-03,05,-8.0,,1.1,57.0,1671,
2019-01-03,06,-8.1,,1.7,54.0,1809,
2019-01-03,07,-8.3,,0.7,58.0,1809,
2019-01-03,08,-8.4,,0.9,56.0,1800,
2019-01-03,09,-7.7,,0.5,43.0,1937,
2019-01-03,10,-4.8,,1.0,33.0,1816,
2019-01-03,11,-2.4,,1.3,30.0,1786,
2019-01-03,12,-0.4,,1.9,26.0,1720,
2019-01-03,13,1.1,,1.4,22.0,1712,
2019-01-03,14,2.4,,1.9,20.0,1891,
2019-01-03,15,2.9,,2.3,20.0,1991,
2019-01-03,16,3.2,,1.7,19.0,1908,
2019-01-03,17,1.5,,1.2,20.0,2000,
2019-01-03,18,-0.4,,1.6,22.0,1978,
2019-01-03,19,-0.9,,2.0,24.0,1940,
2019-01-03,20,-1.7,,1.5,45.0,1985,
2019-01-03,21,-2.7,,0.7,47.0,1971,
2019-01-03,22,-3.3,,0.7,42.0,1847,
2019-01-03,23,-3.9,,1.3,41.0,1810,
2019-01-04,00,-3.9,,0.8,47.0,1856,
2019-01-04,01,-4.1,,0.4,46.0,1827,
2019-01-04,02,-4.5,,0.6,44.0,1716,
2019-01-04,03,-4.9,,1.1,47.0,1632,
2019-01-04,04,-5.2,,0.6,50.0,1659,
2019-01-04,05,-5.5,,0.7,47.0,1655,
2019-01-04,06,-5.8,,0.8,50.0,1604,
2019-01-04,07,-6.0,,1.2,55.0,1544,
2019-01-04,08,-6.1,,1.1,54.0,1493,
2019-01-04,09,-5.4,,1.3,49.0,1383,
2019-01-04,10,-3.5,,0.7,40.0,1251,
2019-01-04,11,-1.5,,1.0,37.0,1282,
2019-01-04,12,-0.4,,0.7,34.0,1267,
2019-01-04,13,1.1,,1.5,40.0,1205,
2019-01-04,14,3.1,,2.5,36.0,1027,
2019-01-04,15,3.9,,2.7,40.0,876,
2019-01-04,16,3.0,,1.6,49.0,913,
2019-01-04,17,2.7,,1.3,61.0,975,
2019-01-04,18,2.3,,1.5,69.0,912,
2019-01-04,19,1.5,,1.0,74.0,870,
2019-01-04,20,1.4,,1.2,75.0,821,
2019-01-04,21,1.4,,1.8,75.0,777,
2019-01-04,22,0.7,,1.1,79.0,669,
2019-01-04,23,0.1,,1.0,81.0,589,
2019-01-05,00,-0.2,,1.7,80.0,347,
2019-01-05,01,-0.4,,2.2,81.0,302,
2019-01-05,02,-1.5,,3.0,75.0,233,
2019-01-05,03,-2.2,,2.1,75.0,226,
2019-01-05,04,-2.9,,1.4,65.0,313,
2019-01-05,05,-3.8,,1.2,61.0,402,
2019-01-05,06,-4.5,,0.6,58.0,516,
2019-01-05,07,-4.6,,1.6,50.0,755,
2019-01-05,08,-4.5,,3.3,46.0,1084,
2019-01-05,09,-4.7,,2.9,47.0,1051,
2019-01-05,10,-4.0,,3.5,45.0,1022,
2019-01-05,11,-2.8,,3.7,38.0,1242,
2019-01-05,12,-2.0,,3.6,34.0,1437,
2019-01-05,13,-0.7,,2.8,30.0,1635,
2019-01-05,14,-0.5,,2.4,25.0,1926,
2019-01-05,15,0.6,,3.5,20.0,1905,
2019-01-05,16,0.4,,2.7,21.0,2000,
2019-01-05,17,-0.3,,1.9,21.0,2000,
2019-01-05,18,-1.5,,1.6,23.0,2000,
2019-01-05,19,-2.1,,1.5,26.0,2000,
2019-01-05,20,-2.6,,1.7,28.0,2000,
2019-01-05,21,-2.9,,1.8,28.0,2000,
2019-01-05,22,-3.9,,1.7,31.0,1805,
2019-01-05,23,-4.8,,1.5,35.0,1684,
2019-01-06,00,-5.5,,1.4,37.0,1833,
2019-01-06,01,-6.0,,1.8,37.0,1841,
2019-01-06,02,-6.3,,0.9,38.0,1862,
2019-01-06,03,-5.9,,0.1,37.0,1864,
2019-01-06,04,-5.7,,0.8,35.0,1744,
2019-01-06,05,-5.6,,0.3,36.0,1833,
2019-01-06,06,-5.4,,0.5,35.0,1734,
2019-01-06,07,-5.3,,1.2,38.0,1771,
2019-01-06,08,-5.7,,0.7,39.0,1641,
2019-01-06,09,-5.2,,0.9,38.0,1585,
2019-01-06,10,-4.2,,0.3,35.0,1441,
2019-01-06,11,-1.3,,1.7,31.0,1377,
2019-01-06,12,0.2,,2.2,28.0,1576,
2019-01-06,13,1.6,,1.3,21.0,1780,
2019-01-06,14,1.8,,2.1,22.0,1806,
2019-01-06,15,2.1,,2.8,21.0,1901,
2019-01-06,16,2.5,,1.8,22.0,1932,
2019-01-06,17,0.8,,1.8,28.0,2000,
2019-01-06,18,-0.9,,1.6,28.0,2000,
2019-01-06,19,-1.7,,2.4,35.0,2000,
2019-01-06,20,-2.3,,0.7,48.0,2000,
2019-01-06,21,-3.1,,1.3,48.0,1946,
2019-01-06,22,-3.7,,0.2,49.0,1980,
2019-01-06,23,-3.8,,0.4,48.0,1993,
2019-01-07,00,-4.1,,0.5,45.0,1987,
2019-01-07,01,-4.3,,1.2,51.0,1974,
2019-01-07,02,-4.5,,0.9,55.0,1878,
2019-01-07,03,-4.9,,0.6,56.0,1674,
2019-01-07,04,-5.2,,1.3,57.0,1158,
2019-01-07,05,-5.5,,0.2,59.0,1619,
2019-01-07,06,-5.9,,0.7,57.0,1725,
2019-01-07,07,-6.2,,0.6,56.0,1597,
2019-01-07,08,-6.0,,0.5,52.0,1408,
2019-01-07,09,-5.4,,0.9,51.0,1247,
2019-01-07,10,-2.3,,1.6,46.0,1247,
2019-01-07,11,-0.5,,2.0,40.0,1575,
2019-01-07,12,0.6,,2.8,33.0,1431,
2019-01-07,13,1.4,,2.4,31.0,1090,
2019-01-07,14,1.7,,3.6,34.0,972,
2019-01-07,15,2.6,,3.0,34.0,886,
2019-01-07,16,2.7,,1.9,31.0,930,
2019-01-07,17,1.7,,1.8,29.0,1550,
2019-01-07,18,0.6,,1.1,34.0,1237,
2019-01-07,19,0.2,,1.6,41.0,1092,
2019-01-07,20,-0.3,,2.0,55.0,836,
2019-01-07,21,-0.6,,0.9,63.0,750,
2019-01-07,22,-1.4,,0.8,64.0,724,
2019-01-07,23,-1.9,,0.8,52.0,1018,
2019-01-08,00,-2.2,,1.8,43.0,1424,
2019-01-08,01,-2.5,,1.0,46.0,1259,
2019-01-08,02,-2.6,,1.8,39.0,1687,
2019-01-08,03,-3.1,,1.6,34.0,1978,
2019-01-08,04,-4.2,,0.8,36.0,1995,
2019-01-08,05,-4.9,,0.5,38.0,1981,
2019-01-08,06,-5.3,,0.6,38.0,1976,
2019-01-08,07,-5.4,,0.8,40.0,1982,
2019-01-08,08,-5.6,,0.6,42.0,1836,
2019-01-08,09,-4.6,,2.3,40.0,1599,
2019-01-08,10,-2.9,,2.0,36.0,1641,
2019-01-08,11,-2.1,,3.3,32.0,1761,
2019-01-08,12,-0.9,,2.7,27.0,1737,
2019-01-08,13,-0.2,,3.2,26.0,1700,
2019-01-08,14,-0.4,,4.9,23.0,1745,
2019-01-08,15,0.3,,3.4,20.0,1754,
2019-01-08,16,0.2,,5.2,23.0,1742,
2019-01-08,17,-0.8,,5.0,21.0,1957,
2019-01-08,18,-2.0,,3.0,21.0,2000,
2019-01-08,19,-3.2,,5.1,21.0,2000,
2019-01-08,20,-5.0,,6.5,32.0,1794,
2019-01-08,21,-5.7,,2.1,34.0,1998,
2019-01-08,22,-6.6,,0.6,35.0,1999,
2019-01-08,23,-7.1,,1.8,34.0,1983,
2019-01-09,00,-7.0,,2.0,34.0,2000,
2019-01-09,01,-7.5,,1.1,34.0,2000,
2019-01-09,02,-7.7,,2.5,34.0,1993,
