날짜,시간,기온(°C),강수량(mm),풍속(m/s),습도(%),시정(10m)
2017-01-01,01,0.0,,1.4,78.0,549
2017-01-01,02,-0.3,,1.9,81.0,483
2017-01-01,03,-0.7,,2.0,84.0,436
2017-01-01,04,-1.1,,1.6,85.0,430
2017-01-01,05,-1.4,,1.4,86.0,381
2017-01-01,06,-1.5,,1.6,87.0,365
2017-01-01,07,-1.5,,1.4,87.0,368
2017-01-01,08,-1.3,,1.4,87.0,355
2017-01-01,09,-0.4,,1.6,83.0,384
2017-01-01,10,0.8,,2.1,77.0,422
2017-01-01,11,2.5,,1.9,71.0,418
2017-01-01,12,4.0,,1.3,69.0,433
2017-01-01,13,5.1,,1.4,65.0,430
2017-01-01,14,6.7,,0.7,61.0,442
2017-01-01,15,6.9,,0.9,65.0,471
2017-01-01,16,6.8,,1.2,67.0,491
2017-01-01,17,6.5,,0.7,69.0,435
2017-01-01,18,5.6,,2.4,70.0,384
2017-01-01,19,4.8,,2.2,73.0,383
2017-01-01,20,4.2,,1.9,73.0,383
2017-01-01,21,4.0,,2.6,74.0,366
2017-01-01,22,3.9,,1.4,75.0,359
2017-01-01,23,3.9,,1.4,75.0,357
2017-01-02,00,3.9,,1.5,75.0,359
2017-01-02,01,3.9,,2.1,75.0,345
2017-01-02,02,3.8,,2.2,77.0,330
2017-01-02,03,3.7,,1.7,76.0,339
2017-01-02,04,3.7,,1.5,77.0,331
2017-01-02,05,3.7,,1.5,80.0,328
2017-01-02,06,3.6,0.3,1.1,89.0,170
2017-01-02,07,3.6,,1.1,88.0,198
2017-01-02,08,3.8,,1.4,87.0,224
2017-01-02,09,4.1,0.0,0.9,87.0,216
2017-01-02,10,5.2,,2.4,86.0,305
2017-01-02,11,6.3,,2.3,82.0,294
2017-01-02,12,7.6,,2.1,70.0,409
2017-01-02,13,8.1,,3.1,69.0,367
2017-01-02,14,9.2,,3.1,59.0,331
2017-01-02,15,8.3,,3.6,64.0,305
2017-01-02,16,8.0,,3.2,65.0,262
2017-01-02,17,7.1,,2.3,69.0,247
2017-01-02,18,6.4,,2.1,73.0,221
2017-01-02,19,6.0,,2.0,78.0,193
2017-01-02,20,5.0,,3.2,81.0,184
2017-01-02,21,4.3,,3.1,84.0,164
2017-01-02,22,3.7,,3.0,78.0,197
2017-01-02,23,2.8,,2.8,76.0,224
2017-01-03,00,1.8,,1.5,79.0,205
2017-01-03,01,1.0,,2.6,82.0,194
2017-01-03,02,0.2,,1.4,83.0,213
2017-01-03,03,-0.7,,0.8,79.0,275
2017-01-03,04,-1.0,,2.2,72.0,363
2017-01-03,05,-1.3,,1.9,73.0,390
2017-01-03,06,-1.8,,1.4,73.0,385
2017-01-03,07,-2.1,,1.4,72.0,494
2017-01-03,08,-2.1,,1.2,67.0,593
2017-01-03,09,-1.4,,0.1,60.0,621
2017-01-03,10,1.1,,0.8,55.0,572
2017-01-03,11,4.1,,1.2,53.0,628
2017-01-03,12,5.9,,2.4,44.0,684
2017-01-03,13,7.0,,3.0,39.0,760
2017-01-03,14,7.0,,3.2,43.0,790
2017-01-03,15,7.2,,3.7,47.0,904
2017-01-03,16,6.9,,3.3,48.0,981
2017-01-03,17,5.3,,2.8,56.0,1629
2017-01-03,18,3.8,,2.6,60.0,1689
2017-01-03,19,2.8,,1.9,61.0,1860
2017-01-03,20,2.2,,2.1,61.0,1986
2017-01-03,21,1.8,,1.8,60.0,1978
2017-01-03,22,1.7,,1.6,63.0,1826
2017-01-03,23,1.2,,0.9,68.0,1668
2017-01-04,00,1.0,,0.4,71.0,1623
2017-01-04,01,1.8,,0.2,72.0,1558
2017-01-04,02,1.9,,0.7,70.0,1672
2017-01-04,03,2.1,,0.5,70.0,1633
2017-01-04,04,2.2,,0.7,70.0,1528
2017-01-04,05,2.5,,1.0,72.0,1252
2017-01-04,06,2.5,,1.1,74.0,1228
2017-01-04,07,2.5,,1.2,74.0,1188
2017-01-04,08,1.9,,0.8,77.0,1067
2017-01-04,09,1.9,,0.9,73.0,909
2017-01-04,10,4.0,,2.4,75.0,396
2017-01-04,11,6.0,,2.4,65.0,434
2017-01-04,12,6.4,,3.5,56.0,557
2017-01-04,13,7.7,,2.9,51.0,609
2017-01-04,14,8.5,,3.5,45.0,782
2017-01-04,15,8.7,,2.8,32.0,1113
2017-01-04,16,8.4,,3.5,35.0,1247
2017-01-04,17,6.6,,2.5,37.0,1283
2017-01-04,18,5.1,,2.3,40.0,1357
2017-01-04,19,4.6,,2.5,42.0,1324
2017-01-04,20,3.8,,2.8,48.0,1300
2017-01-04,21,2.9,,1.0,45.0,1310
2017-01-04,22,2.1,,1.0,49.0,1342
2017-01-04,23,1.8,,0.4,51.0,1309
2017-01-05,00,1.3,,1.3,50.0,1391
2017-01-05,01,0.7,,0.8,56.0,1368
2017-01-05,02,0.3,,0.3,60.0,1251
2017-01-05,03,0.1,,1.4,57.0,1281
2017-01-05,04,0.1,,0.7,54.0,1173
2017-01-05,05,0.1,,1.9,57.0,1119
2017-01-05,06,0.2,,1.7,56.0,1022
2017-01-05,07,0.6,,2.6,54.0,1111
2017-01-05,08,1.2,,2.6,51.0,1185
2017-01-05,09,1.9,,2.1,47.0,1266
2017-01-05,10,3.0,,3.4,43.0,1528
2017-01-05,11,4.2,,3.1,46.0,1708
2017-01-05,12,5.5,,3.1,47.0,1712
2017-01-05,13,6.4,,4.6,50.0,2000
2017-01-05,14,7.0,,5.0,50.0,2000
2017-01-05,15,7.2,,4.0,49.0,2000
2017-01-05,16,7.0,,4.3,49.0,2000
2017-01-05,17,6.7,,4.3,49.0,2000
2017-01-05,18,6.4,,3.7,50.0,2000
2017-01-05,19,6.2,,3.9,52.0,2000
2017-01-05,20,5.7,,4.9,54.0,2000
2017-01-05,21,5.2,,4.8,55.0,2000
2017-01-05,22,4.9,,4.2,56.0,2000
2017-01-05,23,4.5,,4.7,57.0,2000
2017-01-06,00,4.1,,4.2,57.0,2000
2017-01-06,01,4.1,,4.2,57.0,2000
2017-01-06,02,3.9,,4.2,58.0,2000
2017-01-06,03,3.7,,4.1,59.0,2000
2017-01-06,04,3.4,,3.3,60.0,2000
2017-01-06,05,3.4,,3.2,60.0,2000
2017-01-06,06,3.1,,3.3,62.0,2000
2017-01-06,07,3.0,,2.9,62.0,2000
2017-01-06,08,2.6,,3.2,64.0,2000
2017-01-06,09,3.1,,3.2,61.0,2000
2017-01-06,10,4.6,,2.4,58.0,2000
2017-01-06,11,6.1,,2.0,53.0,2000
2017-01-06,12,7.6,,1.5,46.0,2000
2017-01-06,13,9.9,,1.4,46.0,1944
2017-01-06,14,9.2,,1.9,48.0,1957
2017-01-06,15,10.9,,1.3,44.0,1998
2017-01-06,16,11.0,,1.5,45.0,1925
2017-01-06,17,9.1,,1.3,51.0,1770
2017-01-06,18,7.3,,1.3,57.0,1548
2017-01-06,19,6.3,,1.9,62.0,1339
2017-01-06,20,5.4,,1.5,65.0,1231
2017-01-06,21,4.7,,1.1,67.0,1233
2017-01-06,22,4.4,,0.3,70.0,1156
2017-01-06,23,3.6,,0.7,70.0,1115
2017-01-07,00,3.0,,1.3,72.0,1049
2017-01-07,01,2.7,,0.4,73.0,975
2017-01-07,02,2.3,,0.9,76.0,883
2017-01-07,03,2.1,,1.0,78.0,810
2017-01-07,04,1.6,,0.7,81.0,688
2017-01-07,05,1.1,,0.7,82.0,740
2017-01-07,06,0.8,,0.9,82.0,692
2017-01-07,07,0.4,,0.9,84.0,646
2017-01-07,08,0.1,,1.5,85.0,550
2017-01-07,09,1.0,,1.7,77.0,634
2017-01-07,10,2.5,,2.6,73.0,566
2017-01-07,11,5.8,,1.2,58.0,866
2017-01-07,12,7.9,,0.9,51.0,783
2017-01-07,13,8.7,,1.0,49.0,782
2017-01-07,14,9.4,,2.9,51.0,719
2017-01-07,15,9.3,,1.9,51.0,703
2017-01-07,16,9.2,,2.5,51.0,639
2017-01-07,17,8.2,,1.8,55.0,690
2017-01-07,18,6.6,,1.5,60.0,900
2017-01-07,19,5.8,,1.4,61.0,1009
2017-01-07,20,5.0,,1.8,60.0,799
2017-01-07,21,4.4,,1.4,59.0,888
2017-01-07,22,4.1,,1.6,61.0,899
2017-01-07,23,3.8,,2.6,64.0,870
2017-01-08,00,4.3,,2.9,61.0,957
2017-01-08,01,4.6,,2.6,57.0,1206
2017-01-08,02,4.9,,1.9,56.0,1449
2017-01-08,03,4.8,,2.0,58.0,1429
2017-01-08,04,4.4,,2.2,60.0,1487
2017-01-08,05,4.1,,1.6,61.0,1796
2017-01-08,06,4.0,,2.7,64.0,1572
2017-01-08,07,4.2,,3.1,66.0,1797
2017-01-08,08,4.1,,2.6,68.0,1592
2017-01-08,09,4.8,,2.7,63.0,1744
2017-01-08,10,6.7,,3.0,61.0,1795
2017-01-08,11,9.2,,2.3,51.0,1964
2017-01-08,12,10.3,,2.0,49.0,1948
2017-01-08,13,10.4,,0.9,49.0,1974
2017-01-08,14,10.6,,2.7,50.0,1577
2017-01-08,15,9.8,,2.9,53.0,1689
2017-01-08,16,9.5,,2.6,54.0,1739
2017-01-08,17,8.9,,2.3,55.0,1949
2017-01-08,18,8.2,0.0,2.8,57.0,1897
2017-01-08,19,7.4,,3.2,61.0,1974
2017-01-08,20,6.7,,3.1,67.0,1818
2017-01-08,21,6.0,0.0,2.9,72.0,1181
2017-01-08,22,5.4,,4.2,75.0,1017
2017-01-08,23,4.6,,2.8,75.0,931
2017-01-09,00,4.0,0.0,3.4,75.0,822
2017-01-09,01,3.8,,3.3,73.0,883
2017-01-09,02,3.6,,1.9,77.0,744
2017-01-09,03,3.4,0.0,2.4,75.0,767
2017-01-09,04,3.2,,3.3,76.0,658
2017-01-09,05,3.0,,2.9,74.0,720
2017-01-09,06,2.7,0.0,3.4,76.0,731
2017-01-09,07,2.5,,3.5,74.0,734
2017-01-09,08,1.9,,3.5,76.0,491
2017-01-09,09,1.6,,3.0,70.0,366
2017-01-09,10,1.7,,2.4,67.0,433
2017-01-09,11,2.3,,2.9,63.0,445
2017-01-09,12,3.2,,3.7,57.0,527
2017-01-09,13,3.9,,3.7,51.0,615
2017-01-09,14,3.6,,4.0,49.0,783
2017-01-09,15,3.7,,3.7,44.0,990
2017-01-09,16,3.5,,3.3,43.0,954
2017-01-09,17,2.4,,3.7,46.0,980
2017-01-09,18,1.3,,3.1,47.0,1065
2017-01-09,19,0.8,,4.2,48.0,1061
2017-01-09,20,0.0,,3.3,51.0,1062
2017-01-09,21,-0.8,,3.3,53.0,990
2017-01-09,22,-1.6,,2.4,56.0,984
2017-01-09,23,-2.5,,2.7,58.0,976
2017-01-10,00,-3.1,,2.4,64.0,945
2017-01-10,01,-3.7,,2.6,64.0,1158
2017-01-10,02,-3.9,,2.6,59.0,1389
2017-01-10,03,-4.2,,2.8,57.0,1969
2017-01-10,04,-4.5,,2.3,61.0,1779
2017-01-10,05,-4.8,,1.5,61.0,1904
2017-01-10,06,-5.1,,1.3,62.0,1959
2017-01-10,07,-5.3,,1.0,62.0,1999
2017-01-10,08,-5.4,,1.2,62.0,1826
2017-01-10,09,-4.4,,1.1,54.0,1899
2017-01-10,10,-2.2,,2.1,48.0,2000
2017-01-10,11,-0.5,,3.5,49.0,1783
2017-01-10,12,-0.5,,4.3,50.0,1938
2017-01-10,13,0.7,,4.1,44.0,1935
2017-01-10,14,0.8,,5.1,30.0,1915
2017-01-10,15,0.4,,5.1,28.0,2000
2017-01-10,16,-0.5,,6.2,27.0,2000
2017-01-10,17,-1.5,,4.2,30.0,2000
2017-01-10,18,-2.8,,3.2,34.0,2000
2017-01-10,19,-3.7,,2.9,35.0,2000
2017-01-10,20,-4.5,,5.6,34.0,2000
2017-01-10,21,-5.5,,4.0,39.0,2000
2017-01-10,22,-6.2,,3.2,41.0,2000
2017-01-10,23,-7.0,,2.5,42.0,2000
2017-01-11,00,-7.4,,2.2,37.0,2000
2017-01-11,01,-7.5,,3.4,36.0,2000
