날짜,시간,기온(°C),강수량(mm),풍속(m/s),습도(%),시정(10m),적설(cm)
2018-01-01,01,-3.3,,0.7,41,2000,
2018-01-01,02,-3.7,,0.9,42,2000,
2018-01-01,03,-4.0,,1.0,44,2000,
2018-01-01,04,-4.2,,1.1,53,1994,
2018-01-01,05,-4.4,,0.8,54,1786,
2018-01-01,06,-4.5,,1.1,51,2000,
2018-01-01,07,-4.7,,1.1,56,2000,
2018-01-01,08,-5.0,,1.0,55,2000,
2018-01-01,09,-4.3,,0.7,39,1973,
2018-01-01,10,-1.6,,0.8,32,1766,
2018-01-01,11,0.1,,2.2,27,1874,
2018-01-01,12,1.5,,2.8,20,1992,
2018-01-01,13,2.4,,2.3,22,1921,
2018-01-01,14,3.7,,2.1,24,1906,
2018-01-01,15,3.0,,2.9,27,1715,
2018-01-01,16,3.0,,2.5,28,1864,
2018-01-01,17,1.8,,3.3,33,1913,
2018-01-01,18,0.8,,1.9,34,1887,
2018-01-01,19,-0.1,,1.3,39,1911,
2018-01-01,20,-0.3,,1.2,40,1936,
2018-01-01,21,-0.9,,1.2,44,1871,
2018-01-01,22,-1.3,,0.8,48,1927,
2018-01-01,23,-1.6,,0.7,51,1882,
2018-01-02,00,-1.8,,1.1,54,1772,
2018-01-02,01,-2.1,,0.8,56,1732,
2018-01-02,02,-2.3,,0.9,62,1560,
2018-01-02,03,-2.5,,0.4,62,1626,
2018-01-02,04,-2.7,,0.5,67,1302,
2018-01-02,05,-3.1,,0.6,67,1384,
2018-01-02,06,-3.2,,0.4,67,1409,
2018-01-02,07,-3.2,,0.5,69,1249,
2018-01-02,08,-3.4,,0.8,71,1179,
2018-01-02,09,-3.1,,0.2,66,1168,
2018-01-02,10,-1.4,,1.9,50,1355,
2018-01-02,11,-0.4,,2.3,40,1633,
2018-01-02,12,0.9,,1.9,29,1761,
2018-01-02,13,1.5,,3.6,23,1970,
2018-01-02,14,1.7,,4.4,20,1995,
2018-01-02,15,1.5,,3.0,22,1998,
2018-01-02,16,1.3,,2.9,23,2000,
2018-01-02,17,0.3,,2.6,27,2000,
2018-01-02,18,-0.8,,2.3,24,2000,
2018-01-02,19,-1.3,,2.4,28,2000,
2018-01-02,20,-1.9,,2.2,26,2000,
2018-01-02,21,-2.6,,2.0,28,2000,
2018-01-02,22,-3.4,,2.4,33,2000,
2018-01-02,23,-3.8,,2.3,35,2000,
2018-01-03,00,-4.3,,1.4,38,2000,
2018-01-03,01,-5.0,,1.2,42,1993,
2018-01-03,02,-5.5,,2.0,43,2000,
2018-01-03,03,-6.1,,1.3,45,1999,
2018-01-03,04,-6.1,,2.3,45,2000,
2018-01-03,05,-6.4,,2.4,47,1981,
2018-01-03,06,-6.7,,2.4,48,1991,
2018-01-03,07,-6.9,,2.4,48,1974,
2018-01-03,08,-7.0,,1.5,49,1971,
2018-01-03,09,-6.8,,1.7,44,1858,
2018-01-03,10,-5.6,,2.9,38,1752,
2018-01-03,11,-4.5,,3.2,36,1736,
2018-01-03,12,-3.4,,3.1,32,1706,
2018-01-03,13,-2.2,,2.3,31,1910,
2018-01-03,14,-1.5,,2.8,30,1903,
2018-01-03,15,-1.1,,2.8,29,1976,
2018-01-03,16,-0.4,,2.0,30,2000,
2018-01-03,17,-1.9,,1.8,35,2000,
2018-01-03,18,-3.1,,2.1,39,2000,
2018-01-03,19,-3.7,,2.0,41,2000,
2018-01-03,20,-3.9,,2.5,44,2000,
2018-01-03,21,-4.3,,2.8,47,1997,
2018-01-03,22,-5.2,,1.3,53,1969,
2018-01-03,23,-5.9,,0.8,54,1968,
2018-01-04,00,-6.3,,1.4,54,1990,
2018-01-04,01,-6.9,,2.3,56,1994,
2018-01-04,02,-7.3,,2.0,57,1978,
2018-01-04,03,-7.4,,1.7,54,1968,
2018-01-04,04,-7.5,,1.3,55,1984,
2018-01-04,05,-7.6,,1.3,49,2000,
2018-01-04,06,-7.6,,2.3,47,2000,
2018-01-04,07,-8.1,,0.5,51,1987,
2018-01-04,08,-8.6,,0.6,55,1984,
2018-01-04,09,-7.9,,1.2,48,1926,
2018-01-04,10,-6.4,,1.0,43,1872,
2018-01-04,11,-4.4,,0.8,40,1671,
2018-01-04,12,-2.9,,0.9,33,1813,
2018-01-04,13,-2.0,,1.0,32,1864,
2018-01-04,14,-0.8,,1.4,32,1846,
2018-01-04,15,-1.2,,0.8,31,1732,
2018-01-04,16,-1.4,,1.8,34,1719,
2018-01-04,17,-2.1,,1.4,37,1591,
2018-01-04,18,-2.6,,1.4,38,1604,
2018-01-04,19,-2.7,,1.4,39,1616,
2018-01-04,20,-2.8,,1.7,39,1702,
2018-01-04,21,-3.1,,2.0,41,1742,
2018-01-04,22,-3.6,,1.3,46,1689,
2018-01-04,23,-4.0,,1.5,48,1536,
2018-01-05,00,-4.7,,1.8,52,1611,
2018-01-05,01,-5.1,,1.5,51,1550,
2018-01-05,02,-5.3,,1.6,52,1481,
2018-01-05,03,-5.5,,1.1,56,1453,
2018-01-05,04,-5.1,,1.7,55,1266,
2018-01-05,05,-5.1,,1.5,55,1452,
2018-01-05,06,-5.1,,1.3,54,1346,
2018-01-05,07,-5.3,,1.1,53,1300,
2018-01-05,08,-5.3,,1.0,51,1319,
2018-01-05,09,-4.7,,1.2,49,1550,
2018-01-05,10,-3.3,,1.3,50,1407,
2018-01-05,11,-0.7,,1.5,45,1429,
2018-01-05,12,-0.3,,2.2,45,1066,
2018-01-05,13,0.9,,2.0,43,1112,
2018-01-05,14,1.4,,2.0,41,1003,
2018-01-05,15,1.5,,2.8,34,1776,
2018-01-05,16,1.0,,2.9,34,2000,
2018-01-05,17,-0.6,,3.3,45,1827,
2018-01-05,18,-1.8,,2.2,44,1709,
2018-01-05,19,-2.5,,0.6,49,1436,
2018-01-05,20,-3.4,,1.1,51,1391,
2018-01-05,21,-3.5,,0.9,53,1353,
2018-01-05,22,-3.8,,1.3,53,1300,
2018-01-05,23,-3.6,,1.9,50,1284,
2018-01-06,00,-4.3,,1.6,52,1247,
2018-01-06,01,-4.8,,1.2,54,1219,
2018-01-06,02,-5.5,,1.4,56,1285,
2018-01-06,03,-5.6,,1.0,56,1367,
2018-01-06,04,-5.9,,1.1,61,1260,
2018-01-06,05,-6.1,,1.0,64,1231,
2018-01-06,06,-6.5,,0.7,67,1175,
2018-01-06,07,-6.6,,1.0,65,1320,
2018-01-06,08,-6.5,,1.1,62,1503,
2018-01-06,09,-5.8,,1.4,49,1728,
2018-01-06,10,-3.5,,2.0,39,1946,
2018-01-06,11,-1.6,,2.1,35,1812,
2018-01-06,12,0.0,,2.3,35,1672,
2018-01-06,13,0.9,,2.4,28,1895,
2018-01-06,14,1.8,,2.0,29,1693,
2018-01-06,15,2.3,,2.2,27,1877,
2018-01-06,16,2.7,,2.2,27,1811,
2018-01-06,17,1.1,,1.7,31,1989,
2018-01-06,18,-0.6,,1.6,37,1797,
2018-01-06,19,-1.2,,1.2,37,1663,
2018-01-06,20,-2.1,,1.1,41,1578,
2018-01-06,21,-2.5,,0.8,47,1495,
2018-01-06,22,-2.6,,1.6,47,1492,
2018-01-06,23,-3.2,,0.8,50,1429,
2018-01-07,00,-3.8,,0.7,48,1574,
2018-01-07,01,-3.9,,0.2,51,1535,
2018-01-07,02,-4.4,,0.3,53,1594,
2018-01-07,03,-4.8,,0.6,56,1505,
2018-01-07,04,-5.1,,0.7,60,1377,
2018-01-07,05,-5.6,,0.7,58,1350,
2018-01-07,06,-5.5,,0.7,52,1503,
2018-01-07,07,-5.6,,0.9,58,1368,
2018-01-07,08,-5.3,,1.1,53,1411,
2018-01-07,09,-3.8,,1.6,49,1371,
2018-01-07,10,-1.8,,1.8,40,1555,
2018-01-07,11,0.5,,1.4,35,1558,
2018-01-07,12,1.1,,0.9,34,1455,
2018-01-07,13,1.4,,0.8,34,1394,
2018-01-07,14,1.9,,0.7,32,1368,
2018-01-07,15,2.7,,0.9,31,1603,
2018-01-07,16,2.6,,1.0,32,1381,
2018-01-07,17,2.3,,0.2,33,1515,
2018-01-07,18,1.8,,1.2,34,1518,
2018-01-07,19,1.6,,1.0,35,1419,
2018-01-07,20,1.3,,0.4,38,1386,
2018-01-07,21,1.2,,0.6,39,1378,
2018-01-07,22,1.1,,0.5,40,1305,
2018-01-07,23,1.1,,0.6,39,1422,
2018-01-08,00,0.9,,1.1,42,1271,
2018-01-08,01,0.9,,0.2,42,1333,
2018-01-08,02,0.8,,0.5,42,1275,
2018-01-08,03,0.9,,0.4,43,1261,
2018-01-08,04,1.0,,0.8,43,1253,
2018-01-08,05,0.8,,1.0,42,1394,
2018-01-08,06,0.8,0.0,0.7,45,1268,
2018-01-08,07,0.7,,0.8,44,1357,
2018-01-08,08,0.7,,0.7,45,1339,
2018-01-08,09,0.8,,0.9,47,1070,
2018-01-08,10,1.3,,0.8,43,971,
2018-01-08,11,1.7,,0.6,37,1062,
2018-01-08,12,2.7,,2.7,33,1281,
2018-01-08,13,3.0,,1.6,32,1518,
2018-01-08,14,3.4,,1.4,31,1267,
2018-01-08,15,3.9,,1.8,33,1293,
2018-01-08,16,3.5,,1.7,36,1702,
2018-01-08,17,2.7,,2.8,50,1957,
2018-01-08,18,1.5,0.0,2.5,70,638,
2018-01-08,19,0.9,,1.6,88,290,0.5
2018-01-08,20,1.0,,1.9,89,407,1.0
2018-01-08,21,0.7,0.9,6.7,77,692,1.0
2018-01-08,22,0.1,,4.6,68,740,1.0
2018-01-08,23,-0.6,,4.2,62,936,1.0
2018-01-09,00,-1.2,0.0,4.6,67,983,1.0
2018-01-09,01,-1.9,,5.0,69,791,1.0
2018-01-09,02,-2.9,,3.3,66,1515,1.0
2018-01-09,03,-3.4,0.0,3.2,67,1420,0.9
2018-01-09,04,-4.3,,4.4,59,1451,0.9
2018-01-09,05,-5.1,,3.2,48,1821,0.9
2018-01-09,06,-5.6,,3.7,52,1785,0.9
2018-01-09,07,-5.9,,3.1,57,1686,0.8
2018-01-09,08,-6.0,,3.2,64,1384,0.7
2018-01-09,09,-6.0,,2.5,61,1547,0.6
2018-01-09,10,-4.8,,3.0,57,1559,0.5
2018-01-09,11,-3.9,,4.5,51,1746,0.5
2018-01-09,12,-2.7,,2.4,45,1707,0.4
2018-01-09,13,-2.6,,4.0,45,1663,0.3
2018-01-09,14,-1.8,,3.7,45,1922,0.2
2018-01-09,15,-2.4,0.0,4.6,51,1458,
2018-01-09,16,-2.4,,3.3,56,1541,
2018-01-09,17,-2.9,,3.6,66,743,
2018-01-09,18,-3.8,0.0,1.7,58,1996,
2018-01-09,19,-4.5,,0.6,57,2000,
2018-01-09,20,-4.9,,0.6,59,1992,
2018-01-09,21,-4.8,,0.9,59,2000,
2018-01-09,22,-4.2,,1.6,67,503,
2018-01-09,23,-4.9,,0.7,80,690,0.2
2018-01-10,00,-5.2,0.5,0.8,82,152,0.5
2018-01-10,01,-5.6,,1.7,75,1982,0.8
2018-01-10,02,-5.7,,1.2,72,1925,0.8
2018-01-10,03,-6.1,0.3,1.1,70,2000,0.8
2018-01-10,04,-6.6,,2.2,72,2000,0.8
2018-01-10,05,-7.3,,1.6,75,2000,0.8
2018-01-10,06,-7.7,,1.1,74,2000,0.8
2018-01-10,07,-8.0,,1.8,70,2000,0.7
2018-01-10,08,-7.9,,2.6,67,1896,0.7
2018-01-10,09,-7.7,,3.6,62,1637,0.7
2018-01-10,10,-6.9,,3.2,53,1576,0.6
2018-01-10,11,-6.4,,4.5,49,1759,0.5
2018-01-10,12,-5.6,,4.5,44,1830,0.5
2018-01-10,13,-5.1,,4.7,43,1901,0.4
2018-01-10,14,-5.3,,5.3,37,2000,0.3
2018-01-10,15,-5.3,,4.8,33,2000,0.3
2018-01-10,16,-5.4,,3.9,30,2000,0.2
2018-01-10,17,-6.5,,4.0,34,2000,
2018-01-10,18,-7.8,,4.5,32,2000,
2018-01-10,19,-8.5,,2.9,35,2000,
2018-01-10,20,-8.9,,2.3,41,2000,
2018-01-10,21,-9.4,,2.0,47,2000,
