날짜,시간,기온(°C),강수량(mm),풍속(m/s),습도(%),시정(10m),적설(cm)
2018-01-10,22,-9.7,,2.8,51,2000,
2018-01-10,23,-10.2,,3.3,53,1997,
2018-01-11,00,-10.3,,2.4,54,1988,
2018-01-11,01,-10.6,,2.9,55,1987,
2018-01-11,02,-10.9,,2.7,57,1900,
2018-01-11,03,-11.2,,2.9,59,1872,
2018-01-11,04,-11.5,,2.3,57,1899,
2018-01-11,05,-11.9,,1.8,61,1759,
2018-01-11,06,-12.0,,2.3,61,1709,
2018-01-11,07,-12.3,,2.3,59,1738,
2018-01-11,08,-12.6,,1.6,61,1610,
2018-01-11,09,-12.0,,2.6,53,1781,
2018-01-11,10,-11.1,,3.7,46,1638,
2018-01-11,11,-10.2,,3.5,41,1629,
2018-01-11,12,-8.6,,2.6,40,1700,
2018-01-11,13,-8.6,,3.4,41,1593,
2018-01-11,14,-7.4,,3.3,38,1718,
2018-01-11,15,-8.3,,3.8,42,1745,
2018-01-11,16,-8.2,,2.8,39,1807,
2018-01-11,17,-9.3,,2.8,43,1900,
2018-01-11,18,-10.4,,2.3,43,1985,
2018-01-11,19,-10.9,,3.0,44,2000,
2018-01-11,20,-11.6,,1.8,49,1953,
2018-01-11,21,-12.4,,2.2,51,1992,
2018-01-11,22,-12.9,,2.8,52,2000,
2018-01-11,23,-13.2,,1.5,51,1972,
2018-01-12,00,-13.6,,1.6,49,2000,
2018-01-12,01,-13.7,,3.0,47,2000,
2018-01-12,02,-13.8,,2.6,43,2000,
2018-01-12,03,-14.1,,1.8,45,2000,
2018-01-12,04,-14.3,,2.0,45,2000,
2018-01-12,05,-14.6,,1.1,45,2000,
2018-01-12,06,-14.9,,2.3,45,2000,
2018-01-12,07,-15.1,,0.9,45,2000,
2018-01-12,08,-15.1,,1.2,44,2000,
2018-01-12,09,-14.9,,1.2,40,1999,
2018-01-12,10,-13.0,,2.2,37,1960,
2018-01-12,11,-11.2,,2.4,31,1944,
2018-01-12,12,-9.6,,2.0,27,1945,
2018-01-12,13,-8.2,,2.0,29,1920,
2018-01-12,14,-7.2,,2.3,28,1990,
2018-01-12,15,-6.5,,2.4,26,1987,
2018-01-12,16,-5.8,,1.1,21,2000,
2018-01-12,17,-6.5,,1.5,22,2000,
2018-01-12,18,-7.5,,2.0,28,2000,
2018-01-12,19,-8.2,,1.1,32,2000,
2018-01-12,20,-7.9,,1.4,31,2000,
2018-01-12,21,-7.4,,1.4,33,2000,
2018-01-12,22,-6.9,,1.6,39,2000,
2018-01-12,23,-6.7,,1.3,36,1821,
2018-01-13,00,-6.6,0.0,1.6,39,1930,
2018-01-13,01,-6.5,,0.5,45,1964,
2018-01-13,02,-6.4,,0.9,40,2000,
2018-01-13,03,-6.5,0.0,0.7,42,1996,
2018-01-13,04,-6.4,,0.8,46,1993,
2018-01-13,05,-6.3,,0.8,51,2000,
2018-01-13,06,-6.4,0.0,0.6,59,887,
2018-01-13,07,-6.5,,0.6,68,571,
2018-01-13,08,-6.5,,0.8,72,670,0.2
2018-01-13,09,-6.3,0.2,0.6,76,330,0.4
2018-01-13,10,-5.5,,0.7,72,1354,0.6
2018-01-13,11,-4.8,,1.0,70,1244,0.6
2018-01-13,12,-3.7,0.2,1.1,66,1140,0.4
2018-01-13,13,-2.5,,1.4,62,1087,
2018-01-13,14,-1.8,,0.7,62,936,
2018-01-13,15,-1.5,,0.9,62,957,
2018-01-13,16,-1.2,,0.9,63,876,
2018-01-13,17,-1.4,,1.0,68,761,
2018-01-13,18,-2.6,,1.0,73,684,
2018-01-13,19,-3.3,,0.8,76,633,
2018-01-13,20,-3.9,,1.1,78,596,
2018-01-13,21,-4.1,,0.7,79,522,
2018-01-13,22,-4.3,,0.4,81,435,
2018-01-13,23,-4.4,,0.7,81,420,
2018-01-14,00,-4.4,,0.7,81,414,
2018-01-14,01,-3.7,,0.9,79,438,
2018-01-14,02,-3.5,,1.0,78,444,
2018-01-14,03,-3.6,,1.6,78,471,
2018-01-14,04,-4.0,,1.2,79,453,
2018-01-14,05,-4.2,,1.2,79,442,
2018-01-14,06,-4.3,,1.1,79,433,
2018-01-14,07,-4.4,,1.4,80,411,
2018-01-14,08,-3.8,,0.8,79,412,
2018-01-14,09,-3.4,,1.6,77,432,
2018-01-14,10,-2.1,,1.7,72,489,
2018-01-14,11,-0.5,,0.7,64,537,
2018-01-14,12,1.2,,0.8,58,550,
2018-01-14,13,3.0,,1.4,52,568,
2018-01-14,14,3.7,,0.6,53,592,
2018-01-14,15,4.6,,0.9,50,824,
2018-01-14,16,5.3,,1.8,49,982,
2018-01-14,17,4.5,,1.1,51,1244,
2018-01-14,18,4.1,,1.3,53,1132,
2018-01-14,19,3.9,,1.1,54,1102,
2018-01-14,20,3.5,,1.0,55,1100,
2018-01-14,21,3.1,,0.4,58,936,
2018-01-14,22,2.8,,0.6,60,829,
2018-01-14,23,2.7,,0.6,60,794,
2018-01-15,00,3.0,,0.5,60,842,
2018-01-15,01,3.0,,0.9,62,835,
2018-01-15,02,3.6,,0.9,65,959,
2018-01-15,03,4.4,,1.7,70,928,
2018-01-15,04,4.9,,1.8,73,881,
2018-01-15,05,5.0,,1.9,76,808,
2018-01-15,06,4.9,0.0,3.0,83,582,
2018-01-15,07,4.4,,1.0,87,357,
2018-01-15,08,4.1,,1.1,85,470,
2018-01-15,09,3.9,0.2,1.7,86,399,
2018-01-15,10,4.2,,2.2,82,560,
2018-01-15,11,4.7,,2.3,75,533,
2018-01-15,12,6.2,,1.9,64,549,
2018-01-15,13,6.1,,2.3,61,534,
2018-01-15,14,7.1,,2.1,52,646,
2018-01-15,15,7.4,,1.7,38,817,
2018-01-15,16,7.5,,0.9,37,813,
2018-01-15,17,6.5,,0.8,40,804,
2018-01-15,18,5.2,,1.3,44,647,
2018-01-15,19,4.4,,1.2,53,538,
2018-01-15,20,3.7,,1.3,58,474,
2018-01-15,21,3.4,,0.8,59,471,
2018-01-15,22,3.0,,1.6,61,460,
2018-01-15,23,2.4,,0.6,63,443,
2018-01-16,00,1.8,,1.2,67,387,
2018-01-16,01,1.2,,0.7,64,455,
2018-01-16,02,0.5,,0.7,72,385,
2018-01-16,03,0.3,,0.6,70,438,
2018-01-16,04,0.8,,0.7,65,502,
2018-01-16,05,1.1,,0.5,64,505,
2018-01-16,06,1.2,,0.6,69,436,
2018-01-16,07,1.1,,0.6,69,418,
2018-01-16,08,1.2,,0.6,68,411,
2018-01-16,09,1.9,,0.8,65,402,
2018-01-16,10,2.7,,0.5,60,392,
2018-01-16,11,3.9,,0.8,57,363,
2018-01-16,12,5.2,,1.2,52,349,
2018-01-16,13,5.8,,0.8,47,382,
2018-01-16,14,6.5,,0.8,43,468,
2018-01-16,15,6.3,,0.3,40,498,
2018-01-16,16,5.8,,0.9,50,547,
2018-01-16,17,5.2,,0.8,58,462,
2018-01-16,18,4.9,0.0,1.4,59,427,
2018-01-16,19,4.6,,1.0,57,432,
2018-01-16,20,4.5,,0.8,58,383,
2018-01-16,21,4.3,,0.7,56,434,
2018-01-16,22,4.0,,0.3,57,430,
2018-01-16,23,3.9,,0.9,60,379,
2018-01-17,00,3.5,,0.4,62,382,
2018-01-17,01,3.3,,0.4,64,339,
2018-01-17,02,3.1,,0.8,65,310,
2018-01-17,03,3.0,,0.8,67,297,
2018-01-17,04,3.0,,0.5,68,322,
2018-01-17,05,2.9,,0.8,66,325,
2018-01-17,06,2.7,,1.1,71,270,
2018-01-17,07,2.5,,0.9,71,289,
2018-01-17,08,2.6,,0.6,70,296,
2018-01-17,09,3.0,,0.7,66,306,
2018-01-17,10,4.3,,0.5,58,401,
2018-01-17,11,6.0,,1.0,51,436,
2018-01-17,12,8.1,,1.4,51,367,
2018-01-17,13,8.0,,1.8,54,435,
2018-01-17,14,7.7,,2.6,54,313,
2018-01-17,15,8.5,,1.3,49,400,
2018-01-17,16,8.3,,1.2,54,330,
2018-01-17,17,7.2,,3.3,57,342,
2018-01-17,18,5.2,,2.9,62,503,
2018-01-17,19,4.2,,2.4,68,446,
2018-01-17,20,3.5,,1.7,72,361,
2018-01-17,21,3.1,,1.1,74,333,
2018-01-17,22,2.8,,0.5,74,309,
2018-01-17,23,2.7,,0.8,74,291,
2018-01-18,00,2.7,,1.0,73,290,
2018-01-18,01,3.2,,1.9,72,306,
2018-01-18,02,3.3,,1.2,73,288,
2018-01-18,03,3.6,0.0,1.7,74,273,
2018-01-18,04,3.3,,2.1,80,232,
2018-01-18,05,2.6,,2.0,82,229,
2018-01-18,06,2.2,,2.0,82,211,
2018-01-18,07,1.5,,1.1,86,189,
2018-01-18,08,1.1,,1.2,86,197,
2018-01-18,09,1.2,,2.1,84,210,
2018-01-18,10,1.4,,2.1,81,255,
2018-01-18,11,1.8,,1.8,75,301,
2018-01-18,12,2.5,,2.4,72,256,
2018-01-18,13,3.5,,3.2,54,463,
2018-01-18,14,4.4,,2.3,42,719,
2018-01-18,15,4.2,,2.3,36,957,
2018-01-18,16,3.6,,2.4,42,883,
2018-01-18,17,2.8,,2.1,46,858,
2018-01-18,18,2.0,,2.1,39,1259,
2018-01-18,19,1.5,,1.0,41,1210,
2018-01-18,20,1.1,,1.2,44,1171,
2018-01-18,21,0.8,,1.5,45,1184,
2018-01-18,22,0.7,,2.0,45,1084,
2018-01-18,23,0.6,,2.3,47,1046,
2018-01-19,00,0.3,,1.8,45,1154,
2018-01-19,01,0.0,,1.7,43,1250,
2018-01-19,02,-0.3,,1.7,44,1295,
2018-01-19,03,-0.6,,1.7,43,1316,
2018-01-19,04,-0.7,,1.4,45,1241,
2018-01-19,05,-1.4,,1.4,47,1301,
2018-01-19,06,-1.8,,1.4,49,1359,
2018-01-19,07,-2.0,,1.9,49,1281,
2018-01-19,08,-2.5,,1.0,50,1281,
2018-01-19,09,-2.1,,1.3,42,1519,
2018-01-19,10,0.0,,1.3,29,1592,
2018-01-19,11,2.2,,0.6,20,1794,
2018-01-19,12,4.3,,1.5,28,1858,
2018-01-19,13,4.7,,2.6,26,1370,
2018-01-19,14,4.7,,3.6,24,1552,
2018-01-19,15,5.4,,2.4,25,1686,
2018-01-19,16,4.9,,2.8,27,1648,
2018-01-19,17,4.1,,3.1,34,1810,
2018-01-19,18,2.9,,1.6,45,1629,
2018-01-19,19,2.0,,1.8,48,1519,
2018-01-19,20,1.2,,0.6,51,1544,
2018-01-19,21,0.5,,0.8,52,1595,
2018-01-19,22,0.0,,0.8,56,1544,
2018-01-19,23,-0.5,,0.9,59,1487,
2018-01-20,00,-0.6,,0.6,60,1433,
2018-01-20,01,-0.9,,0.4,64,1273,
2018-01-20,02,-0.9,,0.6,65,1369,
2018-01-20,03,-0.9,,0.2,65,1359,
2018-01-20,04,-0.7,,0.6,65,1226,
2018-01-20,05,-0.3,,0.6,62,862,
2018-01-20,06,-0.1,,0.4,60,1080,
2018-01-20,07,0.2,,0.3,60,1145,
2018-01-20,08,0.3,,0.4,63,1140,
2018-01-20,09,0.9,,0.9,63,1090,
2018-01-20,10,2.1,,1.2,60,1005,
2018-01-20,11,3.7,,1.8,59,978,
2018-01-20,12,5.3,,2.6,55,904,
2018-01-20,13,6.3,,3.0,55,792,
2018-01-20,14,5.9,,3.2,61,623,
2018-01-20,15,6.3,,3.0,55,355,
2018-01-20,16,6.6,,3.0,42,355,
2018-01-20,17,5.7,,1.8,53,276,
2018-01-20,18,4.6,,3.2,55,232,
2018-01-20,19,3.5,,1.7,66,187,
2018-01-20,20,2.9,,1.2,66,173,
2018-01-20,21,2.1,,2.8,48,346,
2018-01-20,22,1.5,,2.4,48,422,
2018-01-20,23,0.8,,1.7,53,382,
2018-01-21,00,-0.3,,1.9,60,340,
2018-01-21,01,-0.8,,0.4,58,400,
2018-01-21,02,-1.5,,1.0,63,380,
2018-01-21,03,-2.0,,0.5,60,474,
2018-01-21,04,-2.3,,0.7,47,984,
2018-01-21,05,-2.6,,1.1,49,1065,
2018-01-21,06,-3.1,,1.4,54,1037,
2018-01-21,07,-3.2,,1.2,54,1113,
2018-01-21,08,-3.6,,0.5,53,1227,
2018-01-21,09,-3.2,,0.8,46,1091,
2018-01-21,10,-1.3,,0.8,37,1070,
2018-01-21,11,1.9,,1.0,25,1493,
2018-01-21,12,3.9,,1.6,30,1085,
2018-01-21,13,4.9,,2.0,22,1446,
2018-01-21,14,5.4,,1.2,18,1923,
2018-01-21,15,5.4,,2.2,20,1890,
2018-01-21,16,4.7,,2.1,17,2000,
2018-01-21,17,3.8,,1.3,20,2000,
2018-01-21,18,2.5,,2.0,24,2000,
2018-01-21,19,1.3,,1.3,25,2000,
2018-01-21,20,0.3,,0.4,27,2000,
2018-01-21,21,-0.1,,0.5,29,2000,
2018-01-21,22,-0.3,,0.7,32,2000,
2018-01-21,23,-0.4,,0.6,32,2000,
2018-01-22,00,-0.2,,0.4,30,2000,
2018-01-22,01,-0.2,,0.7,32,2000,
2018-01-22,02,-0.2,,1.4,33,2000,
2018-01-22,03,-0.3,,0.3,31,2000,
2018-01-22,04,0.0,,0.4,32,2000,
2018-01-22,05,0.0,,0.7,32,2000,
2018-01-22,06,0.0,,0.4,33,2000,
2018-01-22,07,-0.4,,1.0,34,1989,
2018-01-22,08,-0.7,,0.5,32,1991,
2018-01-22,09,0.1,,0.8,33,1901,
2018-01-22,10,1.1,,0.7,31,1898,
2018-01-22,11,2.4,,0.9,27,1796,
2018-01-22,12,3.9,,0.9,28,1383,
2018-01-22,13,3.9,,0.6,33,1249,
2018-01-22,14,3.3,,0.4,73,744,
2018-01-22,15,3.6,0.0,1.8,69,655,
2018-01-22,16,2.0,,1.9,87,140,
2018-01-22,17,1.3,,1.2,93,81,0.2
2018-01-22,18,1.1,3.3,3.0,96,187,1.0
2018-01-22,19,-0.1,,3.2,88,582,1.0
2018-01-22,20,-0.8,,2.9,85,836,1.0
2018-01-22,21,-1.8,0.0,2.9,85,590,1.0
2018-01-22,22,-3.2,,3.9,81,492,1.0
2018-01-22,23,-4.2,,2.9,79,554,1.0
2018-01-23,00,-5.3,,3.8,77,894,1.0
2018-01-23,01,-6.0,,3.1,76,1178,1.0
2018-01-23,02,-7.5,,3.9,65,2000,1.0
2018-01-23,03,-8.6,,3.3,68,2000,1.0
2018-01-23,04,-9.5,,4.3,49,2000,1.0
2018-01-23,05,-10.5,,3.0,46,2000,1.0
2018-01-23,06,-11.5,,3.2,47,2000,1.0
2018-01-23,07,-12.5,,4.5,41,2000,1.0
2018-01-23,08,-13.0,,4.0,41,2000,1.0
2018-01-23,09,-13.3,,3.5,36,2000,1.0
2018-01-23,10,-12.1,,3.5,34,1968,1.0
2018-01-23,11,-11.7,,4.0,27,1935,1.0
2018-01-23,12,-11.3,,3.7,27,1955,1.0
2018-01-23,13,-11.0,,4.0,27,1959,1.0
2018-01-23,14,-10.4,,4.3,30,2000,1.0
2018-01-23,15,-9.7,,3.6,32,2000,1.0
2018-01-23,16,-10.1,,4.3,34,2000,1.0
2018-01-23,17,-10.6,,3.5,38,2000,0.9
2018-01-23,18,-11.5,,2.4,43,2000,0.9
2018-01-23,19,-12.0,,3.2,47,2000,0.9
2018-01-23,20,-12.5,,3.0,52,2000,0.9
2018-01-23,21,-13.2,,4.1,49,2000,0.9
2018-01-23,22,-13.9,,4.0,45,2000,0.9
2018-01-23,23,-14.3,,4.0,38,2000,0.9
2018-01-24,00,-14.6,,3.9,34,2000,0.9
2018-01-24,01,-15.0,,2.5,31,2000,0.9
2018-01-24,02,-15.2,,3.1,32,2000,0.9
2018-01-24,03,-15.2,,3.4,30,2000,0.9
2018-01-24,04,-15.4,,2.5,30,2000,0.9
2018-01-24,05,-15.6,,3.7,29,2000,0.9
2018-01-24,06,-15.7,,2.5,29,2000,0.9
2018-01-24,07,-15.9,,3.0,30,2000,0.9
