날짜,시간,기온(°C),강수량(mm),풍속(m/s),습도(%),시정(10m),적설(cm)
2020-01-01,01,-5.9,,1.7,40,2000,
2020-01-01,02,-5.7,,0.1,42,1988,
2020-01-01,03,-5.6,0.0,0.0,46,2000,
2020-01-01,04,-5.4,,0.0,50,1908,
2020-01-01,05,-5.2,,0.0,55,1999,
2020-01-01,06,-4.8,0.0,1.9,58,1984,
2020-01-01,07,-4.6,,2.1,62,1501,
2020-01-01,08,-4.6,,1.8,64,1684,
2020-01-01,09,-4.3,0.0,2.3,70,736,
2020-01-01,10,-4.2,,1.9,76,418,
2020-01-01,11,-3.4,,1.5,75,613,0.0
2020-01-01,12,-2.2,0.1,1.7,72,1117,
2020-01-01,13,-1.0,,1.6,67,1209,
2020-01-01,14,-0.4,,1.2,65,1226,
2020-01-01,15,0.3,,0.0,62,1179,
2020-01-01,16,0.3,,0.0,64,1137,
2020-01-01,17,0.2,,0.9,65,1128,
2020-01-01,18,0.1,,0.8,66,1084,
2020-01-01,19,0.1,,0.3,65,1055,
2020-01-01,20,0.0,,1.7,67,1005,
2020-01-01,21,-0.4,,2.5,71,886,
2020-01-01,22,-0.9,,1.5,71,897,
2020-01-01,23,-0.9,,1.0,70,895,
2020-01-02,00,-0.7,,2.1,70,897,
2020-01-02,01,-0.7,,2.2,72,857,
2020-01-02,02,-0.6,,2.2,70,887,
2020-01-02,03,-0.6,,2.3,70,903,
2020-01-02,04,-0.7,,2.1,70,884,
2020-01-02,05,-0.5,,1.5,67,964,
2020-01-02,06,-0.6,,1.7,69,913,
2020-01-02,07,-0.5,,1.9,65,993,
2020-01-02,08,-0.4,,2.3,67,907,
2020-01-02,09,-0.1,,2.4,67,890,
2020-01-02,10,0.7,,2.0,62,876,
2020-01-02,11,1.7,,2.0,57,854,
2020-01-02,12,2.5,,1.0,56,803,
2020-01-02,13,3.4,,1.8,56,720,
2020-01-02,14,3.7,,2.3,58,788,
2020-01-02,15,3.8,,2.8,58,699,
2020-01-02,16,3.7,,2.5,58,641,
2020-01-02,17,3.3,,3.1,62,603,
2020-01-02,18,2.7,,2.2,61,642,
2020-01-02,19,2.0,,2.0,64,625,
2020-01-02,20,1.2,,0.7,66,570,
2020-01-02,21,0.5,,0.9,68,537,
2020-01-02,22,0.3,,0.4,70,511,
2020-01-02,23,-0.4,,1.5,74,489,
2020-01-03,00,0.0,,2.6,74,481,
2020-01-03,01,-0.5,,1.4,78,406,
2020-01-03,02,-1.1,,1.4,80,373,
2020-01-03,03,-1.5,,1.5,82,358,
2020-01-03,04,-1.8,,2.2,81,372,
2020-01-03,05,-2.0,,1.5,81,352,
2020-01-03,06,-2.5,,2.4,85,289,
2020-01-03,07,-3.0,,1.4,86,277,
2020-01-03,08,-3.3,,1.7,86,302,
2020-01-03,09,-2.6,,2.2,74,465,
2020-01-03,10,-1.0,,2.2,60,638,
2020-01-03,11,0.1,,3.2,48,1019,
2020-01-03,12,1.7,,2.4,42,808,
2020-01-03,13,2.9,,2.0,35,878,
2020-01-03,14,4.0,,3.1,30,1357,
2020-01-03,15,4.1,,2.9,28,1257,
2020-01-03,16,4.3,,2.1,30,1299,
2020-01-03,17,3.3,,2.2,35,1184,
2020-01-03,18,2.2,,1.3,38,1196,
2020-01-03,19,1.3,,1.8,39,1305,
2020-01-03,20,0.6,,1.2,43,1182,
2020-01-03,21,-0.5,,1.2,48,1141,
2020-01-03,22,-0.8,,0.6,50,1081,
2020-01-03,23,-1.0,,0.6,55,1050,
2020-01-04,00,-1.5,,1.4,58,976,
2020-01-04,01,-1.6,,1.0,59,966,
2020-01-04,02,-1.9,,0.7,63,883,
2020-01-04,03,-2.1,,1.1,59,996,
2020-01-04,04,-2.3,,1.5,62,986,
2020-01-04,05,-2.7,,1.4,64,955,
2020-01-04,06,-2.4,,1.3,64,913,
2020-01-04,07,-1.8,,1.6,62,861,
2020-01-04,08,-1.8,,1.1,63,869,
2020-01-04,09,-1.5,,1.6,62,797,
2020-01-04,10,0.1,,1.2,54,752,
2020-01-04,11,2.0,,1.3,49,723,
2020-01-04,12,4.2,,2.8,51,897,
2020-01-04,13,5.0,,2.9,42,1027,
2020-01-04,14,5.6,,4.0,40,1198,
2020-01-04,15,6.1,,2.2,33,1429,
2020-01-04,16,5.6,,3.4,34,1436,
2020-01-04,17,4.7,,3.5,36,1322,
2020-01-04,18,3.6,,1.5,41,1247,
2020-01-04,19,2.7,,0.8,44,1121,
2020-01-04,20,1.8,,0.5,45,1145,
