날짜,시간,기온(°C),강수량(mm),풍속(m/s),습도(%),시정(10m)
2021-01-08,13,-12.2,,3.8,38,2000
2021-01-08,14,-11.6,,3.9,36,2000
2021-01-08,15,-11.2,,5.6,36,2000
2021-01-08,16,-11.3,,5.8,35,2000
2021-01-08,17,-11.7,,2.7,39,2000
2021-01-08,18,-12.6,,3.0,41,2000
2021-01-08,19,-13.1,,3.4,42,2000
2021-01-08,20,-13.5,,3.3,47,2000
2021-01-08,21,-14.1,,3.2,51,2000
2021-01-08,22,-14.5,,2.7,54,2000
2021-01-08,23,-15.2,,2.9,55,1953
2021-01-09,00,-15.4,,3.1,47,2000
2021-01-09,01,-15.3,,1.9,44,2000
2021-01-09,02,-15.1,,1.9,47,2000
2021-01-09,03,-14.8,,2.6,42,2000
2021-01-09,04,-15.7,,1.4,43,2000
2021-01-09,05,-16.0,,1.2,48,2000
2021-01-09,06,-16.4,,1.1,50,1995
2021-01-09,07,-16.3,,1.0,48,1989
2021-01-09,08,-16.2,,1.5,51,2000
2021-01-09,09,-15.2,,0.6,50,2000
2021-01-09,10,-12.5,,1.0,45,2000
2021-01-09,11,-11.0,,3.3,37,2000
2021-01-09,12,-10.1,,3.8,37,2000
2021-01-09,13,-9.3,,4.1,37,2000
2021-01-09,14,-8.7,,5.8,38,2000
2021-01-09,15,-8.2,,3.4,38,2000
2021-01-09,16,-7.7,,3.9,39,2000
2021-01-09,17,-8.9,,5.4,40,2000
2021-01-09,18,-9.7,,3.1,43,2000
2021-01-09,19,-10.2,,4.2,44,2000
2021-01-09,20,-10.7,,2.1,48,2000
2021-01-09,21,-10.9,,2.9,53,2000
2021-01-09,22,-11.2,,2.3,55,2000
2021-01-09,23,-11.7,,1.8,56,2000
2021-01-10,00,-12.2,,1.7,57,2000
2021-01-10,01,-12.4,,1.4,57,2000
2021-01-10,02,-12.3,,1.4,55,2000
2021-01-10,03,-12.2,,1.5,55,2000
2021-01-10,04,-12.5,,0.9,58,2000
2021-01-10,05,-12.5,,0.6,63,2000
2021-01-10,06,-12.6,,1.0,65,2000
2021-01-10,07,-12.7,,1.0,67,2000
2021-01-10,08,-12.6,,0.3,68,2000
2021-01-10,09,-12.2,,2.4,69,2000
2021-01-10,10,-9.7,,1.1,63,2000
2021-01-10,11,-7.3,,1.7,51,2000
2021-01-10,12,-6.0,,1.3,46,2000
2021-01-10,13,-3.8,,1.2,41,2000
2021-01-10,14,-2.8,,1.5,39,2000
2021-01-10,15,-3.2,,1.3,38,2000
2021-01-10,16,-3.3,,1.9,40,2000
2021-01-10,17,-3.6,,1.5,45,2000
2021-01-10,18,-4.2,,0.5,45,2000
2021-01-10,19,-4.4,,0.9,48,2000
2021-01-10,20,-4.6,,0.9,51,2000
2021-01-10,21,-4.8,,1.2,53,2000
2021-01-10,22,-5.4,,1.9,58,2000
2021-01-10,23,-6.3,,1.0,57,2000
2021-01-11,00,-6.6,,2.5,64,2000
2021-01-11,01,-7.1,,2.6,66,1663
2021-01-11,02,-7.9,,2.8,69,1644
2021-01-11,03,-8.5,,1.2,67,1827
2021-01-11,04,-9.1,,1.3,67,1998
2021-01-11,05,-9.5,,1.1,69,1991
2021-01-11,06,-9.5,,1.5,71,1861
2021-01-11,07,-9.1,,0.9,72,1902
2021-01-11,08,-8.8,,1.5,68,1979
2021-01-11,09,-8.4,,3.0,71,1881
2021-01-11,10,-7.7,,2.3,71,1660
2021-01-11,11,-6.7,,2.4,68,1679
2021-01-11,12,-6.1,,2.6,63,1821
2021-01-11,13,-5.0,,2.7,58,1959
2021-01-11,14,-4.3,,2.2,54,2000
2021-01-11,15,-4.1,,2.1,51,2000
2021-01-11,16,-4.1,,2.1,52,2000
2021-01-11,17,-4.2,,1.7,51,2000
2021-01-11,18,-5.1,,2.1,53,2000
2021-01-11,19,-5.4,,1.3,54,2000
2021-01-11,20,-5.7,,1.4,55,2000
2021-01-11,21,-5.9,,1.3,58,2000
2021-01-11,22,-6.6,,2.3,61,2000
2021-01-11,23,-6.7,,0.7,62,2000
2021-01-12,00,-6.1,,1.9,63,2000
2021-01-12,01,-6.3,,1.1,63,2000
2021-01-12,02,-7.5,,2.0,68,1818
2021-01-12,03,-8.2,,2.4,71,1525
2021-01-12,04,-8.6,,2.3,73,1497
2021-01-12,05,-8.9,,2.1,73,1506
2021-01-12,06,-9.1,,2.5,76,1411
2021-01-12,07,-9.3,,2.4,77,1377
2021-01-12,08,-9.1,,2.8,78,1310
2021-01-12,09,-7.7,,3.0,76,1368
2021-01-12,10,-5.6,,2.3,69,1423
2021-01-12,11,-3.9,,1.6,66,1382
2021-01-12,12,-1.9,,2.7,63,1455
2021-01-12,13,-1.0,,1.3,61,1459
2021-01-12,14,-0.7,,1.0,65,1552
2021-01-12,15,-0.8,0.1,2.4,74,488
2021-01-12,16,-1.5,,0.8,88,34
2021-01-12,17,-1.1,,1.0,91,133
2021-01-12,18,-0.8,2.3,1.6,91,430
2021-01-12,19,-1.3,,2.2,91,201
2021-01-12,20,-1.2,,2.2,93,164
2021-01-12,21,-0.9,0.2,0.2,92,561
2021-01-12,22,-1.5,,1.6,92,196
2021-01-12,23,-1.8,,1.1,93,223
2021-01-13,00,-2.0,0.0,1.9,93,202
2021-01-13,01,-2.1,,2.2,95,262
2021-01-13,02,-2.1,,1.8,95,264
2021-01-13,03,-2.4,0.0,1.7,94,283
2021-01-13,04,-2.8,,2.3,94,287
2021-01-13,05,-2.9,,2.0,94,382
2021-01-13,06,-2.7,,1.7,94,467
2021-01-13,07,-3.0,,2.5,94,403
2021-01-13,08,-2.9,,2.5,93,500
2021-01-13,09,-2.1,,2.4,94,537
2021-01-13,10,-0.6,,2.2,91,597
2021-01-13,11,1.4,,2.1,84,694
2021-01-13,12,2.9,,2.2,77,735
2021-01-13,13,4.4,,2.0,75,871
2021-01-13,14,7.3,,3.3,66,1458
2021-01-13,15,8.2,,3.4,65,1446
2021-01-13,16,8.0,,4.8,69,1476
2021-01-13,17,7.3,,3.5,73,1406
2021-01-13,18,6.9,,2.2,77,1299
2021-01-13,19,5.8,,2.1,80,1099
2021-01-13,20,5.1,,2.8,82,1031
2021-01-13,21,3.9,,2.0,78,1045
2021-01-13,22,2.8,,1.8,73,1040
2021-01-13,23,1.9,,1.9,67,1036
2021-01-14,00,0.9,,1.8,63,1200
2021-01-14,01,0.3,,1.9,60,1373
2021-01-14,02,-0.6,,1.7,56,1816
2021-01-14,03,-1.2,,1.4,57,1999
2021-01-14,04,-2.1,,1.0,63,1977
2021-01-14,05,-2.4,,1.6,63,2000
2021-01-14,06,-2.8,,2.6,63,1998
2021-01-14,07,-3.1,,1.9,67,1891
2021-01-14,08,-3.4,,1.0,70,1951
2021-01-14,09,-3.0,,2.5,70,1997
2021-01-14,10,-0.6,,1.4,61,2000
2021-01-14,11,1.4,,1.7,43,2000
2021-01-14,12,3.3,,3.2,32,2000
2021-01-14,13,4.7,,3.1,33,2000
2021-01-14,14,5.9,,3.7,31,2000
2021-01-14,15,6.8,,2.4,29,2000
2021-01-14,16,6.8,,2.4,30,2000
2021-01-14,17,5.9,,2.4,33,2000
2021-01-14,18,4.5,,2.4,37,2000
2021-01-14,19,3.9,,2.7,38,2000
2021-01-14,20,3.8,,3.4,39,2000
2021-01-14,21,3.5,,2.7,39,2000
2021-01-14,22,3.3,,2.8,39,2000
2021-01-14,23,2.8,,1.7,42,2000
2021-01-15,00,2.1,,2.2,45,2000
2021-01-15,01,2.2,,2.7,43,2000
2021-01-15,02,2.6,,2.6,45,2000
2021-01-15,03,3.2,,2.7,43,2000
2021-01-15,04,3.2,,2.1,43,2000
2021-01-15,05,3.5,,2.0,46,2000
2021-01-15,06,3.7,,2.5,47,2000
2021-01-15,07,3.8,,2.5,52,2000
2021-01-15,08,4.2,,2.2,57,2000
2021-01-15,09,4.8,,2.4,58,2000
2021-01-15,10,5.5,,2.1,60,1995
2021-01-15,11,6.3,,1.9,65,1872
2021-01-15,12,8.8,,3.1,78,2000
2021-01-15,13,9.8,,4.8,80,2000
2021-01-15,14,9.8,,5.2,82,1543
2021-01-15,15,9.2,0.2,5.6,82,1108
2021-01-15,16,7.7,,3.5,76,602
2021-01-15,17,6.7,,4.1,79,553
2021-01-15,18,5.3,,3.7,81,645
2021-01-15,19,4.0,,3.7,81,802
2021-01-15,20,3.1,,4.9,81,970
2021-01-15,21,1.5,,4.1,76,1356
2021-01-15,22,0.8,,3.3,78,1246
2021-01-15,23,0.2,,3.3,75,1179
2021-01-16,00,-0.7,,2.8,74,1087
2021-01-16,01,-1.7,,2.6,74,972
2021-01-16,02,-2.4,,3.0,75,979
2021-01-16,03,-3.1,,2.9,76,948
2021-01-16,04,-4.0,,2.7,76,914
2021-01-16,05,-4.7,,3.0,77,892
2021-01-16,06,-5.4,,3.2,78,875
2021-01-16,07,-6.0,,2.2,72,1058
2021-01-16,08,-6.6,,3.4,69,1239
2021-01-16,09,-6.5,,3.1,69,1312
2021-01-16,10,-5.8,,3.5,65,1386
2021-01-16,11,-4.9,,3.5,63,1329
2021-01-16,12,-3.6,,2.7,55,1849
2021-01-16,13,-2.3,,3.1,48,2000
2021-01-16,14,-1.8,,3.1,43,2000
2021-01-16,15,-1.7,,3.7,48,2000
2021-01-16,16,-2.9,,4.5,39,2000
2021-01-16,17,-3.3,,4.1,47,2000
2021-01-16,18,-4.1,,3.6,53,2000
2021-01-16,19,-4.7,,4.9,55,2000
2021-01-16,20,-5.6,,4.0,43,2000
2021-01-16,21,-6.4,,2.9,45,2000
2021-01-16,22,-7.4,,2.4,41,2000
2021-01-16,23,-8.2,,3.5,44,2000
2021-01-17,00,-8.7,,3.1,50,2000
2021-01-17,01,-9.3,,2.0,50,2000
2021-01-17,02,-9.4,,3.1,52,2000
2021-01-17,03,-9.5,,2.8,58,2000
2021-01-17,04,-9.8,,2.1,59,2000
2021-01-17,05,-9.8,,2.4,58,2000
2021-01-17,06,-10.3,,1.6,60,2000
2021-01-17,07,-10.5,,1.4,61,2000
2021-01-17,08,-10.8,,1.2,60,2000
2021-01-17,09,-9.9,,2.2,59,2000
2021-01-17,10,-8.1,,1.9,50,2000
2021-01-17,11,-6.1,,2.5,43,2000
2021-01-17,12,-4.4,,2.3,35,2000
2021-01-17,13,-3.1,,1.7,32,2000
2021-01-17,14,-2.2,,1.8,36,2000
2021-01-17,15,-1.6,,3.6,40,2000
2021-01-17,16,-1.8,,3.1,44,2000
2021-01-17,17,-2.2,,3.2,53,2000
2021-01-17,18,-2.6,0.0,3.2,58,2000
2021-01-17,19,-2.8,,1.9,61,2000
2021-01-17,20,-2.8,,3.1,67,2000
2021-01-17,21,-2.8,0.0,1.8,74,779
2021-01-17,22,-3.0,,1.4,84,1988
2021-01-17,23,-3.0,,2.1,86,2000
2021-01-18,00,-3.0,0.0,2.0,84,2000
2021-01-18,01,-3.6,,1.5,81,2000
2021-01-18,02,-3.3,,1.8,79,2000
2021-01-18,03,-3.4,0.0,0.5,76,2000
2021-01-18,04,-3.2,,1.4,78,2000
2021-01-18,05,-3.5,,1.4,81,2000
2021-01-18,06,-3.7,0.0,1.9,83,2000
2021-01-18,07,-4.0,,2.5,85,1925
2021-01-18,08,-3.9,,1.9,89,1503
2021-01-18,09,-3.1,,2.3,89,1365
2021-01-18,10,-2.3,,2.4,88,742
2021-01-18,11,-1.5,,1.5,90,756
2021-01-18,12,-0.6,0.3,2.2,88,727
2021-01-18,13,-0.2,,2.7,80,1503
2021-01-18,14,-0.3,,5.0,75,1201
2021-01-18,15,-0.4,0.0,6.0,56,2000
2021-01-18,16,-0.4,,6.7,34,2000
2021-01-18,17,-2.0,,6.3,34,2000
2021-01-18,18,-3.9,,7.4,35,2000
2021-01-18,19,-4.9,,4.8,41,2000
2021-01-18,20,-5.5,,3.7,43,2000
2021-01-18,21,-6.1,,4.5,42,2000
2021-01-18,22,-7.1,,5.3,40,2000
2021-01-18,23,-8.4,,2.7,44,2000
2021-01-19,00,-9.1,,2.7,45,2000
2021-01-19,01,-9.6,,3.9,46,2000
2021-01-19,02,-10.1,,2.7,47,2000
2021-01-19,03,-10.4,,0.7,45,2000
2021-01-19,04,-10.6,,2.3,48,2000
2021-01-19,05,-11.0,,1.7,51,2000
2021-01-19,06,-11.4,,2.0,50,2000
2021-01-19,07,-11.4,,1.4,52,2000
2021-01-19,08,-11.6,,1.0,54,2000
2021-01-19,09,-10.8,,1.7,51,2000
2021-01-19,10,-8.6,,2.2,50,2000
2021-01-19,11,-6.2,,2.0,43,2000
2021-01-19,12,-4.1,,0.8,37,2000
2021-01-19,13,-2.3,,2.4,29,2000
2021-01-19,14,-1.5,,1.6,24,2000
2021-01-19,15,-0.6,,1.7,21,2000
2021-01-19,16,-0.4,,1.6,20,2000
2021-01-19,17,-1.3,,1.6,21,2000
2021-01-19,18,-2.7,,0.8,24,2000
2021-01-19,19,-3.6,,1.3,28,2000
2021-01-19,20,-4.4,,1.0,31,2000
2021-01-19,21,-4.9,,1.6,34,2000
2021-01-19,22,-5.1,,0.8,38,2000
2021-01-19,23,-5.5,,2.8,40,2000
2021-01-20,00,-5.6,,2.1,41,2000
2021-01-20,01,-5.8,,1.8,45,2000
2021-01-20,02,-5.6,,3.0,45,2000
2021-01-20,03,-5.5,,2.6,43,2000
2021-01-20,04,-6.1,,1.3,51,2000
2021-01-20,05,-6.4,,2.4,54,2000
2021-01-20,06,-6.3,,2.2,50,2000
2021-01-20,07,-6.4,,2.2,50,2000
2021-01-20,08,-5.9,,4.1,47,2000
2021-01-20,09,-4.7,,3.5,45,2000
2021-01-20,10,-2.3,,2.4,39,2000
2021-01-20,11,0.1,,2.7,34,2000
2021-01-20,12,1.5,,3.1,32,2000
2021-01-20,13,3.4,,2.9,29,2000
2021-01-20,14,5.0,,2.4,26,2000
2021-01-20,15,6.3,,1.8,26,2000
2021-01-20,16,7.1,,1.1,24,2000
2021-01-20,17,5.9,,2.4,26,2000
2021-01-20,18,4.1,,2.5,30,2000
2021-01-20,19,3.1,,0.5,33,2000
2021-01-20,20,2.4,,0.7,35,2000
2021-01-20,21,1.6,,1.5,37,2000
2021-01-20,22,1.5,,2.3,41,2000
2021-01-20,23,2.0,,1.7,40,2000
2021-01-21,00,2.5,,2.7,39,2000
2021-01-21,01,2.7,,2.5,37,2000
2021-01-21,02,2.9,,2.3,37,2000
2021-01-21,03,2.9,,2.1,38,2000
2021-01-21,04,3.0,,3.0,40,2000
2021-01-21,05,3.0,,1.7,41,2000
2021-01-21,06,3.1,,2.8,42,2000
2021-01-21,07,3.2,,2.4,43,2000
2021-01-21,08,3.2,,3.8,44,2000
2021-01-21,09,3.7,,2.3,44,2000
2021-01-21,10,4.5,,2.0,42,2000
2021-01-21,11,5.0,,2.9,42,2000
2021-01-21,12,5.8,,1.2,42,2000
2021-01-21,13,6.8,,2.7,43,2000
2021-01-21,14,6.9,,1.8,45,1990
2021-01-21,15,6.1,0.6,2.1,67,836
2021-01-21,16,5.3,,2.5,79,463
2021-01-21,17,4.8,,1.8,87,424
2021-01-21,18,4.6,4.0,2.1,91,326
2021-01-21,19,4.6,,1.8,93,228
2021-01-21,20,4.6,,1.5,94,180
2021-01-21,21,4.8,3.7,2.1,95,243
2021-01-21,22,4.9,,2.3,96,221
2021-01-21,23,4.8,,2.3,95,197
2021-01-22,00,4.9,0.9,1.9,96,296
2021-01-22,01,5.0,,1.7,95,351
2021-01-22,02,5.0,,1.3,95,433
2021-01-22,03,5.0,0.0,1.4,93,393
2021-01-22,04,4.9,,0.7,94,296
2021-01-22,05,5.1,,1.0,95,292
2021-01-22,06,5.0,0.1,1.2,95,221
2021-01-22,07,5.0,,2.4,96,94
2021-01-22,08,4.9,,1.9,96,66
2021-01-22,09,5.0,,2.0,97,94
2021-01-22,10,5.4,,1.5,97,220
2021-01-22,11,5.8,,2.3,96,573
2021-01-22,12,6.0,,0.5,93,664
2021-01-22,13,6.4,,1.5,92,374
2021-01-22,14,6.6,,1.7,91,453
2021-01-22,15,6.5,,2.2,91,374
2021-01-22,16,6.4,,1.6,90,521
2021-01-22,17,6.3,,2.1,90,481
2021-01-22,18,5.9,,2.6,91,437
2021-01-22,19,5.6,,1.4,91,605
2021-01-22,20,5.5,,1.9,91,622
2021-01-22,21,5.5,,2.1,91,649
2021-01-22,22,5.2,,2.5,91,573
2021-01-22,23,5.1,,1.5,92,573
2021-01-23,00,4.9,,1.5,92,544
2021-01-23,01,5.3,,2.9,92,1091
2021-01-23,02,5.6,,2.4,88,1769
2021-01-23,03,5.4,,2.9,86,2000
2021-01-23,04,5.2,,3.1,84,2000
2021-01-23,05,5.3,,3.9,81,2000
2021-01-23,06,5.2,,4.1,80,2000
2021-01-23,07,5.4,,4.3,78,2000
2021-01-23,08,5.3,,3.9,76,2000
2021-01-23,09,5.9,,4.4,75,2000
2021-01-23,10,7.5,,5.0,68,2000
2021-01-23,11,9.3,,4.1,61,2000
2021-01-23,12,9.8,,4.6,57,2000
2021-01-23,13,10.4,,5.3,54,2000
2021-01-23,14,10.9,,4.4,53,2000
2021-01-23,15,11.9,,5.1,50,2000
2021-01-23,16,11.5,,4.7,50,2000
2021-01-23,17,10.5,,5.2,53,2000
2021-01-23,18,9.4,,4.3,56,2000
2021-01-23,19,8.4,,4.5,59,2000
2021-01-23,20,7.6,,4.5,60,2000
2021-01-23,21,7.1,,4.9,61,2000
2021-01-23,22,6.6,,3.6,61,2000
2021-01-23,23,6.3,,3.3,62,2000
2021-01-24,00,6.1,,3.9,63,2000
2021-01-24,01,5.8,,3.4,64,2000
2021-01-24,02,5.5,,3.4,65,2000
2021-01-24,03,4.7,,4.1,69,2000
2021-01-24,04,4.2,,3.0,71,2000
2021-01-24,05,3.8,,3.6,74,2000
2021-01-24,06,3.1,,1.8,75,2000
2021-01-24,07,2.7,,2.2,77,2000
2021-01-24,08,2.4,,1.7,79,2000
2021-01-24,09,3.7,,2.8,78,2000
2021-01-24,10,6.3,,2.7,69,2000
2021-01-24,11,8.5,,3.6,61,2000
2021-01-24,12,10.1,,2.2,57,2000
2021-01-24,13,11.6,,1.0,50,2000
2021-01-24,14,12.9,,1.3,47,2000
2021-01-24,15,13.8,,1.4,45,2000
2021-01-24,16,13.4,,2.2,46,2000
2021-01-24,17,11.6,,2.2,49,2000
2021-01-24,18,10.3,,1.9,53,2000
2021-01-24,19,9.0,,2.0,57,2000
2021-01-24,20,8.0,,1.3,61,2000
2021-01-24,21,7.0,,1.6,64,2000
2021-01-24,22,7.0,,1.3,67,2000
2021-01-24,23,6.3,,1.9,69,2000
2021-01-25,00,5.7,,1.1,70,2000
2021-01-25,01,5.3,,0.3,72,2000
2021-01-25,02,4.7,,2.1,75,2000
2021-01-25,03,4.1,,1.4,78,2000
2021-01-25,04,3.8,,1.7,79,2000
2021-01-25,05,3.6,,1.4,80,2000
2021-01-25,06,3.0,,1.4,82,2000
2021-01-25,07,3.1,,2.7,83,2000
2021-01-25,08,3.4,,2.1,81,2000
2021-01-25,09,4.4,,2.4,78,2000
2021-01-25,10,6.4,,2.5,71,2000
2021-01-25,11,8.4,,3.0,63,2000
