날짜,시간,기온(°C),강수량(mm),풍속(m/s),습도(%),시정(10m)
2021-01-01,01,-8.7,,2.4,68,2000
2021-01-01,02,-9.1,,1.6,69,2000
2021-01-01,03,-9.3,,1.1,70,2000
2021-01-01,04,-9.3,,0.3,71,2000
2021-01-01,05,-9.7,,1.9,72,2000
2021-01-01,06,-9.7,,2.0,75,2000
2021-01-01,07,-9.3,,1.6,71,2000
2021-01-01,08,-9.3,,1.6,72,2000
2021-01-01,09,-8.6,,2.5,74,2000
2021-01-01,10,-6.1,,1.1,68,2000
2021-01-01,11,-3.2,,1.7,55,2000
2021-01-01,12,-1.1,,2.1,52,2000
2021-01-01,13,-0.2,,3.0,56,2000
2021-01-01,14,1.4,,1.6,53,2000
2021-01-01,15,1.2,,2.6,52,2000
2021-01-01,16,-0.2,,3.8,58,2000
2021-01-01,17,-0.7,,1.8,61,2000
2021-01-01,18,-1.4,,2.1,68,2000
2021-01-01,19,-1.5,,2.4,70,2000
2021-01-01,20,-1.6,,2.5,73,2000
2021-01-01,21,-1.6,,2.3,66,2000
2021-01-01,22,-1.8,,2.5,63,2000
2021-01-01,23,-2.6,,1.9,55,2000
2021-01-02,00,-3.4,,2.5,55,2000
2021-01-02,01,-4.1,,2.3,39,2000
2021-01-02,02,-5.0,,2.7,42,2000
2021-01-02,03,-5.8,,1.9,45,2000
2021-01-02,04,-6.3,,1.7,45,2000
2021-01-02,05,-6.6,,1.1,40,2000
2021-01-02,06,-6.6,,2.7,35,2000
2021-01-02,07,-7.4,,1.5,38,2000
2021-01-02,08,-8.3,,1.3,41,2000
2021-01-02,09,-7.6,,2.0,39,2000
2021-01-02,10,-6.0,,2.3,35,2000
2021-01-02,11,-5.3,,3.2,32,2000
2021-01-02,12,-3.2,,3.0,33,2000
2021-01-02,13,-2.3,,2.5,31,2000
2021-01-02,14,-1.5,,4.4,31,2000
2021-01-02,15,-2.3,,5.2,33,2000
2021-01-02,16,-1.7,,3.4,34,2000
2021-01-02,17,-2.3,,4.5,35,2000
2021-01-02,18,-3.2,,2.7,39,2000
2021-01-02,19,-3.8,,2.8,50,2000
2021-01-02,20,-4.2,,2.9,41,2000
2021-01-02,21,-5.0,,2.3,39,2000
2021-01-02,22,-5.5,,2.8,42,2000
2021-01-02,23,-6.1,,1.9,45,2000
2021-01-03,00,-6.6,,3.8,45,2000
2021-01-03,01,-7.3,,2.4,48,2000
2021-01-03,02,-7.7,,2.0,50,2000
2021-01-03,03,-8.0,,2.2,51,2000
2021-01-03,04,-8.3,,1.6,52,2000
2021-01-03,05,-8.8,,1.0,53,2000
2021-01-03,06,-9.0,,1.3,53,2000
2021-01-03,07,-8.7,,1.1,54,2000
2021-01-03,08,-8.7,,0.9,58,2000
2021-01-03,09,-7.6,,1.8,57,2000
2021-01-03,10,-5.7,,2.6,46,2000
2021-01-03,11,-4.2,,1.9,39,2000
2021-01-03,12,-3.1,,2.9,33,2000
2021-01-03,13,-2.4,,3.1,30,2000
2021-01-03,14,-2.3,,3.6,30,2000
2021-01-03,15,-2.4,,3.7,33,2000
2021-01-03,16,-2.3,,2.5,35,2000
2021-01-03,17,-2.6,,1.9,36,2000
2021-01-03,18,-3.6,,2.1,40,2000
2021-01-03,19,-4.4,,1.1,41,2000
2021-01-03,20,-4.9,,1.4,43,2000
2021-01-03,21,-5.3,,0.7,45,2000
2021-01-03,22,-5.9,,1.1,50,2000
2021-01-03,23,-5.3,,3.2,44,2000
2021-01-04,00,-6.2,,0.5,48,2000
2021-01-04,01,-6.5,,1.3,49,2000
2021-01-04,02,-7.0,,0.5,51,2000
2021-01-04,03,-7.1,,0.9,54,2000
2021-01-04,04,-7.4,,1.3,56,2000
2021-01-04,05,-8.1,,1.7,52,2000
2021-01-04,06,-8.1,,2.2,47,2000
2021-01-04,07,-8.3,,2.4,51,2000
2021-01-04,08,-8.1,,2.3,48,2000
2021-01-04,09,-7.6,,2.5,48,2000
2021-01-04,10,-5.6,,1.3,43,2000
2021-01-04,11,-3.0,,2.4,40,2000
2021-01-04,12,-1.5,,2.4,40,2000
2021-01-04,13,-0.6,,1.9,41,2000
2021-01-04,14,-0.4,,1.6,40,2000
2021-01-04,15,0.0,,1.6,40,2000
2021-01-04,16,0.2,,1.3,42,2000
2021-01-04,17,-0.3,,1.2,51,2000
2021-01-04,18,-0.9,,1.0,52,2000
2021-01-04,19,-0.9,,1.8,49,2000
2021-01-04,20,-0.7,,0.7,51,2000
2021-01-04,21,-0.5,,2.3,57,2000
2021-01-04,22,-0.6,,2.6,54,2000
2021-01-04,23,-1.3,,1.0,69,1361
2021-01-05,00,-2.1,0.0,2.4,73,1438
2021-01-05,01,-2.5,,0.5,75,1645
2021-01-05,02,-2.5,,1.4,77,1759
2021-01-05,03,-2.5,0.0,1.0,76,1642
2021-01-05,04,-2.7,,2.2,78,1564
2021-01-05,05,-3.9,,2.7,82,1530
2021-01-05,06,-4.2,0.0,3.7,80,1953
2021-01-05,07,-4.8,,2.5,77,2000
2021-01-05,08,-5.6,,3.1,75,2000
2021-01-05,09,-5.8,0.0,3.3,67,2000
2021-01-05,10,-5.2,,3.9,46,2000
2021-01-05,11,-4.6,,4.4,36,2000
2021-01-05,12,-4.6,,4.4,33,2000
2021-01-05,13,-4.1,,4.8,34,2000
2021-01-05,14,-4.2,,4.3,33,2000
2021-01-05,15,-3.8,,4.2,35,2000
2021-01-05,16,-3.6,,3.3,33,2000
2021-01-05,17,-4.5,,3.6,31,2000
2021-01-05,18,-5.7,,2.8,34,2000
2021-01-05,19,-6.5,,1.9,39,2000
2021-01-05,20,-7.1,,3.6,41,2000
2021-01-05,21,-7.6,,4.9,43,2000
2021-01-05,22,-8.5,,2.5,51,2000
2021-01-05,23,-9.5,,0.9,53,2000
2021-01-06,00,-9.9,,1.8,54,2000
2021-01-06,01,-10.3,,1.8,57,2000
2021-01-06,02,-10.6,,1.9,57,2000
2021-01-06,03,-11.1,,1.7,61,2000
2021-01-06,04,-11.2,,1.3,64,2000
2021-01-06,05,-11.6,,1.3,64,2000
2021-01-06,06,-11.7,,0.8,62,2000
2021-01-06,07,-11.9,,2.2,61,2000
2021-01-06,08,-11.7,,2.4,64,2000
2021-01-06,09,-10.7,,1.4,62,2000
2021-01-06,10,-8.2,,1.6,53,2000
2021-01-06,11,-7.0,,2.4,46,2000
2021-01-06,12,-6.0,,2.3,37,2000
2021-01-06,13,-4.6,,3.0,30,2000
2021-01-06,14,-3.6,,3.1,26,2000
2021-01-06,15,-2.3,,1.9,26,2000
2021-01-06,16,-2.2,,2.9,25,2000
2021-01-06,17,-3.2,,2.6,27,2000
2021-01-06,18,-3.7,,2.7,28,2000
2021-01-06,19,-4.2,,3.4,60,993
2021-01-06,20,-5.5,,1.7,87,33
2021-01-06,21,-5.1,2.2,2.0,89,124
2021-01-06,22,-4.7,,3.5,77,1458
2021-01-06,23,-5.6,,3.4,76,1989
2021-01-07,00,-8.3,0.1,6.4,72,1325
2021-01-07,01,-9.6,,4.4,75,1100
2021-01-07,02,-11.6,,5.0,54,1715
2021-01-07,03,-13.2,,5.6,55,1824
2021-01-07,04,-14.3,,3.4,59,1802
2021-01-07,05,-15.0,,5.6,56,1592
2021-01-07,06,-15.6,,5.5,58,1665
2021-01-07,07,-16.1,,5.3,55,1589
2021-01-07,08,-16.4,,4.3,55,1700
2021-01-07,09,-16.2,,2.8,56,2000
2021-01-07,10,-15.3,,5.4,50,2000
2021-01-07,11,-14.8,,,48,2000
2021-01-07,12,-13.8,,,45,2000
2021-01-07,13,-13.1,,4.2,42,2000
2021-01-07,14,-12.4,,4.4,40,2000
2021-01-07,15,-12.4,,4.8,38,2000
2021-01-07,16,-12.3,,4.6,37,2000
2021-01-07,17,-13.0,,4.5,38,2000
2021-01-07,18,-13.7,,1.6,45,2000
2021-01-07,19,-14.2,,2.1,46,1876
2021-01-07,20,-14.6,,1.4,47,2000
2021-01-07,21,-14.9,,2.9,50,2000
2021-01-07,22,-15.3,,2.5,54,1971
2021-01-07,23,-15.5,,3.3,54,2000
2021-01-08,00,-15.9,,2.5,52,2000
2021-01-08,01,-16.5,,1.9,50,1992
2021-01-08,02,-16.9,,2.4,52,1926
2021-01-08,03,-17.2,,3.8,47,1787
2021-01-08,04,-17.5,,3.0,47,1745
2021-01-08,05,-17.8,,2.9,47,1761
2021-01-08,06,-17.8,,3.7,47,1779
2021-01-08,07,-18.2,,1.9,46,1839
2021-01-08,08,-18.5,,2.1,49,1811
2021-01-08,09,-17.9,,1.9,46,2000
2021-01-08,10,-15.6,,3.4,39,2000
2021-01-08,11,-14.5,,2.3,38,2000
2021-01-08,12,-13.4,,3.2,37,2000
